"member_casual","week_day","hour","n_trips"
"casual","Mon",0,4794
"casual","Mon",1,3140
"casual","Mon",2,2017
"casual","Mon",3,1326
"casual","Mon",4,1385
"casual","Mon",5,1666
"casual","Mon",6,3706
"casual","Mon",7,6714
"casual","Mon",8,8460
"casual","Mon",9,8530
"casual","Mon",10,10943
"casual","Mon",11,14453
"casual","Mon",12,17720
"casual","Mon",13,18753
"casual","Mon",14,19241
"casual","Mon",15,20559
"casual","Mon",16,23730
"casual","Mon",17,28933
"casual","Mon",18,26034
"casual","Mon",19,19644
"casual","Mon",20,14021
"casual","Mon",21,11248
"casual","Mon",22,9398
"casual","Mon",23,5678
"casual","Tue",0,3057
"casual","Tue",1,1800
"casual","Tue",2,1057
"casual","Tue",3,694
"casual","Tue",4,735
"casual","Tue",5,1695
"casual","Tue",6,4127
"casual","Tue",7,7803
"casual","Tue",8,9186
"casual","Tue",9,8277
"casual","Tue",10,9284
"casual","Tue",11,11467
"casual","Tue",12,14306
"casual","Tue",13,15184
"casual","Tue",14,15998
"casual","Tue",15,18055
"casual","Tue",16,22567
"casual","Tue",17,31661
"casual","Tue",18,28405
"casual","Tue",19,21295
"casual","Tue",20,14688
"casual","Tue",21,11875
"casual","Tue",22,10720
"casual","Tue",23,6415
"casual","Wed",0,3365
"casual","Wed",1,1649
"casual","Wed",2,1118
"casual","Wed",3,743
"casual","Wed",4,748
"casual","Wed",5,1598
"casual","Wed",6,4029
"casual","Wed",7,7943
"casual","Wed",8,9567
"casual","Wed",9,8421
"casual","Wed",10,8770
"casual","Wed",11,11566
"casual","Wed",12,13929
"casual","Wed",13,14467
"casual","Wed",14,15388
"casual","Wed",15,17385
"casual","Wed",16,21998
"casual","Wed",17,31745
"casual","Wed",18,29117
"casual","Wed",19,22508
"casual","Wed",20,16221
"casual","Wed",21,13883
"casual","Wed",22,11782
"casual","Wed",23,6884
"casual","Thu",0,3849
"casual","Thu",1,2212
"casual","Thu",2,1334
"casual","Thu",3,818
"casual","Thu",4,835
"casual","Thu",5,1627
"casual","Thu",6,3995
"casual","Thu",7,7256
"casual","Thu",8,9011
"casual","Thu",9,7834
"casual","Thu",10,9358
"casual","Thu",11,11633
"casual","Thu",12,13722
"casual","Thu",13,14420
"casual","Thu",14,15337
"casual","Thu",15,17771
"casual","Thu",16,22473
"casual","Thu",17,30791
"casual","Thu",18,29575
"casual","Thu",19,22958
"casual","Thu",20,16810
"casual","Thu",21,14745
"casual","Thu",22,13736
"casual","Thu",23,9808
"casual","Fri",0,6074
"casual","Fri",1,3974
"casual","Fri",2,2162
"casual","Fri",3,1277
"casual","Fri",4,1143
"casual","Fri",5,1645
"casual","Fri",6,3912
"casual","Fri",7,6960
"casual","Fri",8,8793
"casual","Fri",9,9514
"casual","Fri",10,12789
"casual","Fri",11,16589
"casual","Fri",12,20814
"casual","Fri",13,22336
"casual","Fri",14,23448
"casual","Fri",15,26178
"casual","Fri",16,30172
"casual","Fri",17,35774
"casual","Fri",18,33366
"casual","Fri",19,25580
"casual","Fri",20,18535
"casual","Fri",21,16219
"casual","Fri",22,15678
"casual","Fri",23,15637
"casual","Sat",0,13815
"casual","Sat",1,12302
"casual","Sat",2,7881
"casual","Sat",3,3721
"casual","Sat",4,1990
"casual","Sat",5,1783
"casual","Sat",6,2745
"casual","Sat",7,4854
"casual","Sat",8,9658
"casual","Sat",9,17499
"casual","Sat",10,27704
"casual","Sat",11,35774
"casual","Sat",12,41993
"casual","Sat",13,45670
"casual","Sat",14,45693
"casual","Sat",15,44221
"casual","Sat",16,42531
"casual","Sat",17,39472
"casual","Sat",18,35816
"casual","Sat",19,29276
"casual","Sat",20,22805
"casual","Sat",21,20466
"casual","Sat",22,21394
"casual","Sat",23,20558
"casual","Sun",0,18013
"casual","Sun",1,13454
"casual","Sun",2,9494
"casual","Sun",3,5222
"casual","Sun",4,2924
"casual","Sun",5,2320
"casual","Sun",6,2867
"casual","Sun",7,4593
"casual","Sun",8,8042
"casual","Sun",9,15030
"casual","Sun",10,24349
"casual","Sun",11,32465
"casual","Sun",12,37121
"casual","Sun",13,40020
"casual","Sun",14,40712
"casual","Sun",15,41624
"casual","Sun",16,38864
"casual","Sun",17,34875
"casual","Sun",18,28379
"casual","Sun",19,22534
"casual","Sun",20,17102
"casual","Sun",21,13739
"casual","Sun",22,12020
"casual","Sun",23,7908
"member","Mon",0,2595
"member","Mon",1,1484
"member","Mon",2,813
"member","Mon",3,613
"member","Mon",4,1052
"member","Mon",5,4791
"member","Mon",6,13175
"member","Mon",7,23811
"member","Mon",8,26219
"member","Mon",9,16330
"member","Mon",10,14416
"member","Mon",11,18245
"member","Mon",12,21668
"member","Mon",13,21365
"member","Mon",14,20803
"member","Mon",15,25487
"member","Mon",16,36132
"member","Mon",17,48839
"member","Mon",18,40571
"member","Mon",19,28093
"member","Mon",20,18185
"member","Mon",21,12220
"member","Mon",22,7986
"member","Mon",23,4320
"member","Tue",0,2056
"member","Tue",1,1033
"member","Tue",2,600
"member","Tue",3,439
"member","Tue",4,1004
"member","Tue",5,5776
"member","Tue",6,16148
"member","Tue",7,29991
"member","Tue",8,32234
"member","Tue",9,18923
"member","Tue",10,15009
"member","Tue",11,18288
"member","Tue",12,22531
"member","Tue",13,22066
"member","Tue",14,20875
"member","Tue",15,27217
"member","Tue",16,40263
"member","Tue",17,56696
"member","Tue",18,46235
"member","Tue",19,31159
"member","Tue",20,19995
"member","Tue",21,14106
"member","Tue",22,9881
"member","Tue",23,5486
"member","Wed",0,2576
"member","Wed",1,1185
"member","Wed",2,673
"member","Wed",3,410
"member","Wed",4,1035
"member","Wed",5,5628
"member","Wed",6,15835
"member","Wed",7,29797
"member","Wed",8,32591
"member","Wed",9,19633
"member","Wed",10,15744
"member","Wed",11,18949
"member","Wed",12,23280
"member","Wed",13,22235
"member","Wed",14,21344
"member","Wed",15,26852
"member","Wed",16,40119
"member","Wed",17,56622
"member","Wed",18,47157
"member","Wed",19,32355
"member","Wed",20,21899
"member","Wed",21,16135
"member","Wed",22,11040
"member","Wed",23,6372
"member","Thu",0,3036
"member","Thu",1,1462
"member","Thu",2,690
"member","Thu",3,516
"member","Thu",4,1039
"member","Thu",5,5109
"member","Thu",6,14284
"member","Thu",7,26718
"member","Thu",8,29408
"member","Thu",9,18479
"member","Thu",10,15228
"member","Thu",11,18500
"member","Thu",12,22579
"member","Thu",13,21066
"member","Thu",14,20606
"member","Thu",15,26008
"member","Thu",16,37911
"member","Thu",17,50905
"member","Thu",18,43666
"member","Thu",19,30595
"member","Thu",20,20709
"member","Thu",21,15601
"member","Thu",22,12321
"member","Thu",23,7874
"member","Fri",0,4275
"member","Fri",1,2411
"member","Fri",2,1247
"member","Fri",3,726
"member","Fri",4,1052
"member","Fri",5,4575
"member","Fri",6,12692
"member","Fri",7,22372
"member","Fri",8,25455
"member","Fri",9,18093
"member","Fri",10,16799
"member","Fri",11,20675
"member","Fri",12,24741
"member","Fri",13,25062
"member","Fri",14,25328
"member","Fri",15,29737
"member","Fri",16,38471
"member","Fri",17,44744
"member","Fri",18,38316
"member","Fri",19,27491
"member","Fri",20,18368
"member","Fri",21,13751
"member","Fri",22,11831
"member","Fri",23,10624
"member","Sat",0,8546
"member","Sat",1,6783
"member","Sat",2,3965
"member","Sat",3,1949
"member","Sat",4,1266
"member","Sat",5,1945
"member","Sat",6,4667
"member","Sat",7,8585
"member","Sat",8,14338
"member","Sat",9,21119
"member","Sat",10,27385
"member","Sat",11,31144
"member","Sat",12,33006
"member","Sat",13,32832
"member","Sat",14,32712
"member","Sat",15,31494
"member","Sat",16,30470
"member","Sat",17,29510
"member","Sat",18,26896
"member","Sat",19,22311
"member","Sat",20,16508
"member","Sat",21,13591
"member","Sat",22,12564
"member","Sat",23,11417
"member","Sun",0,9376
"member","Sun",1,7067
"member","Sun",2,4183
"member","Sun",3,2363
"member","Sun",4,1553
"member","Sun",5,1767
"member","Sun",6,3831
"member","Sun",7,6315
"member","Sun",8,10382
"member","Sun",9,16150
"member","Sun",10,22458
"member","Sun",11,26932
"member","Sun",12,29760
"member","Sun",13,30103
"member","Sun",14,29852
"member","Sun",15,30764
"member","Sun",16,29869
"member","Sun",17,27674
"member","Sun",18,24084
"member","Sun",19,18964
"member","Sun",20,13507
"member","Sun",21,9982
"member","Sun",22,7567
"member","Sun",23,4557
