"member_casual","hour","n_trips"
"casual",0,52967
"casual",1,38531
"casual",2,25063
"casual",3,13801
"casual",4,9760
"casual",5,12334
"casual",6,25381
"casual",7,46123
"casual",8,62717
"casual",9,75105
"casual",10,103197
"casual",11,133947
"casual",12,159605
"casual",13,170850
"casual",14,175817
"casual",15,185793
"casual",16,202335
"casual",17,233251
"casual",18,210692
"casual",19,163795
"casual",20,120182
"casual",21,102175
"casual",22,94728
"casual",23,72888
"member",0,32460
"member",1,21425
"member",2,12171
"member",3,7016
"member",4,8001
"member",5,29591
"member",6,80632
"member",7,147589
"member",8,170627
"member",9,128727
"member",10,127039
"member",11,152733
"member",12,177565
"member",13,174729
"member",14,171520
"member",15,197559
"member",16,253235
"member",17,314990
"member",18,266925
"member",19,190968
"member",20,129171
"member",21,95386
"member",22,73190
"member",23,50650
