"member_casual","month","n_trips"
"casual","Jan",17813
"casual","Feb",9904
"casual","Mar",82987
"casual","Apr",134700
"casual","May",252903
"casual","Jun",364381
"casual","Jul",435289
"casual","Aug",407009
"casual","Sep",358820
"casual","Oct",253404
"casual","Nov",105214
"casual","Dec",68613
"member","Jan",77549
"member","Feb",38618
"member","Mar",142344
"member","Apr",197436
"member","May",269815
"member","Jun",352548
"member","Jul",373710
"member","Aug",385305
"member","Sep",385843
"member","Oct",367305
"member","Nov",248610
"member","Dec",174816
