"member_casual","month","hour","n_trips"
"casual","Jan",0,272
"casual","Jan",1,180
"casual","Jan",2,128
"casual","Jan",3,78
"casual","Jan",4,100
"casual","Jan",5,127
"casual","Jan",6,224
"casual","Jan",7,412
"casual","Jan",8,558
"casual","Jan",9,662
"casual","Jan",10,869
"casual","Jan",11,1142
"casual","Jan",12,1387
"casual","Jan",13,1542
"casual","Jan",14,1537
"casual","Jan",15,1647
"casual","Jan",16,1620
"casual","Jan",17,1465
"casual","Jan",18,1147
"casual","Jan",19,858
"casual","Jan",20,592
"casual","Jan",21,462
"casual","Jan",22,476
"casual","Jan",23,328
"casual","Feb",0,128
"casual","Feb",1,86
"casual","Feb",2,36
"casual","Feb",3,41
"casual","Feb",4,35
"casual","Feb",5,54
"casual","Feb",6,79
"casual","Feb",7,191
"casual","Feb",8,212
"casual","Feb",9,248
"casual","Feb",10,400
"casual","Feb",11,586
"casual","Feb",12,851
"casual","Feb",13,890
"casual","Feb",14,956
"casual","Feb",15,966
"casual","Feb",16,1054
"casual","Feb",17,1014
"casual","Feb",18,682
"casual","Feb",19,406
"casual","Feb",20,285
"casual","Feb",21,225
"casual","Feb",22,222
"casual","Feb",23,257
"casual","Mar",0,1186
"casual","Mar",1,755
"casual","Mar",2,263
"casual","Mar",3,177
"casual","Mar",4,201
"casual","Mar",5,268
"casual","Mar",6,587
"casual","Mar",7,1149
"casual","Mar",8,1656
"casual","Mar",9,2041
"casual","Mar",10,3223
"casual","Mar",11,4988
"casual","Mar",12,6506
"casual","Mar",13,7364
"casual","Mar",14,8054
"casual","Mar",15,8204
"casual","Mar",16,8468
"casual","Mar",17,9130
"casual","Mar",18,6473
"casual","Mar",19,4027
"casual","Mar",20,2688
"casual","Mar",21,2130
"casual","Mar",22,1943
"casual","Mar",23,1506
"casual","Apr",0,2451
"casual","Apr",1,1595
"casual","Apr",2,638
"casual","Apr",3,347
"casual","Apr",4,338
"casual","Apr",5,460
"casual","Apr",6,1015
"casual","Apr",7,1780
"casual","Apr",8,2642
"casual","Apr",9,3358
"casual","Apr",10,5003
"casual","Apr",11,6742
"casual","Apr",12,8980
"casual","Apr",13,9797
"casual","Apr",14,10381
"casual","Apr",15,10902
"casual","Apr",16,12314
"casual","Apr",17,14891
"casual","Apr",18,13165
"casual","Apr",19,9614
"casual","Apr",20,5802
"casual","Apr",21,4845
"casual","Apr",22,4358
"casual","Apr",23,3282
"casual","May",0,5388
"casual","May",1,3898
"casual","May",2,2146
"casual","May",3,1158
"casual","May",4,684
"casual","May",5,877
"casual","May",6,1813
"casual","May",7,3255
"casual","May",8,5002
"casual","May",9,6822
"casual","May",10,10426
"casual","May",11,13681
"casual","May",12,17439
"casual","May",13,18893
"casual","May",14,19690
"casual","May",15,20128
"casual","May",16,22222
"casual","May",17,24362
"casual","May",18,21213
"casual","May",19,16200
"casual","May",20,12089
"casual","May",21,9861
"casual","May",22,8631
"casual","May",23,7025
"casual","Jun",0,8966
"casual","Jun",1,6485
"casual","Jun",2,4629
"casual","Jun",3,2304
"casual","Jun",4,1587
"casual","Jun",5,1631
"casual","Jun",6,3203
"casual","Jun",7,5506
"casual","Jun",8,7972
"casual","Jun",9,9921
"casual","Jun",10,13599
"casual","Jun",11,17596
"casual","Jun",12,20802
"casual","Jun",13,22483
"casual","Jun",14,23154
"casual","Jun",15,23744
"casual","Jun",16,27997
"casual","Jun",17,34583
"casual","Jun",18,31914
"casual","Jun",19,27789
"casual","Jun",20,22393
"casual","Jun",21,17696
"casual","Jun",22,16149
"casual","Jun",23,12278
"casual","Jul",0,9628
"casual","Jul",1,7438
"casual","Jul",2,5367
"casual","Jul",3,2912
"casual","Jul",4,1737
"casual","Jul",5,2069
"casual","Jul",6,4268
"casual","Jul",7,7154
"casual","Jul",8,9877
"casual","Jul",9,12145
"casual","Jul",10,16684
"casual","Jul",11,22088
"casual","Jul",12,27086
"casual","Jul",13,28658
"casual","Jul",14,29273
"casual","Jul",15,30334
"casual","Jul",16,32886
"casual","Jul",17,38184
"casual","Jul",18,37425
"casual","Jul",19,30921
"casual","Jul",20,24419
"casual","Jul",21,20659
"casual","Jul",22,19266
"casual","Jul",23,14811
"casual","Aug",0,8904
"casual","Aug",1,6601
"casual","Aug",2,4426
"casual","Aug",3,2552
"casual","Aug",4,1813
"casual","Aug",5,2225
"casual","Aug",6,4392
"casual","Aug",7,7876
"casual","Aug",8,10401
"casual","Aug",9,12075
"casual","Aug",10,16762
"casual","Aug",11,21783
"casual","Aug",12,25213
"casual","Aug",13,27275
"casual","Aug",14,27755
"casual","Aug",15,29452
"casual","Aug",16,31987
"casual","Aug",17,38643
"casual","Aug",18,35274
"casual","Aug",19,28171
"casual","Aug",20,19986
"casual","Aug",21,17040
"casual","Aug",22,14830
"casual","Aug",23,11573
"casual","Sep",0,7375
"casual","Sep",1,4902
"casual","Sep",2,3069
"casual","Sep",3,1822
"casual","Sep",4,1442
"casual","Sep",5,1902
"casual","Sep",6,4271
"casual","Sep",7,7822
"casual","Sep",8,10202
"casual","Sep",9,11791
"casual","Sep",10,15342
"casual","Sep",11,19544
"casual","Sep",12,22558
"casual","Sep",13,23608
"casual","Sep",14,23802
"casual","Sep",15,26309
"casual","Sep",16,29064
"casual","Sep",17,34286
"casual","Sep",18,31674
"casual","Sep",19,22975
