"date","type_customer","n_trips"
2021-01-01,"casual",270
2021-01-01,"member",776
2021-01-01,"all",1046
2021-01-02,"casual",537
2021-01-02,"member",1713
2021-01-02,"all",2250
2021-01-03,"casual",570
2021-01-03,"member",1774
2021-01-03,"all",2344
2021-01-04,"casual",520
2021-01-04,"member",2632
2021-01-04,"all",3152
2021-01-05,"casual",634
2021-01-05,"member",3160
2021-01-05,"all",3794
2021-01-06,"casual",694
2021-01-06,"member",3134
2021-01-06,"all",3828
2021-01-07,"casual",733
2021-01-07,"member",3089
2021-01-07,"all",3822
2021-01-08,"casual",679
2021-01-08,"member",3146
2021-01-08,"all",3825
2021-01-09,"casual",1386
2021-01-09,"member",3494
2021-01-09,"all",4880
2021-01-10,"casual",836
2021-01-10,"member",2421
2021-01-10,"all",3257
2021-01-11,"casual",525
2021-01-11,"member",2807
2021-01-11,"all",3332
2021-01-12,"casual",707
2021-01-12,"member",3427
2021-01-12,"all",4134
2021-01-13,"casual",759
2021-01-13,"member",3645
2021-01-13,"all",4404
2021-01-14,"casual",563
2021-01-14,"member",3005
2021-01-14,"all",3568
2021-01-15,"casual",802
2021-01-15,"member",3281
2021-01-15,"all",4083
2021-01-16,"casual",845
2021-01-16,"member",2406
2021-01-16,"all",3251
2021-01-17,"casual",606
2021-01-17,"member",1908
2021-01-17,"all",2514
2021-01-18,"casual",611
2021-01-18,"member",2926
2021-01-18,"all",3537
2021-01-19,"casual",369
2021-01-19,"member",2715
2021-01-19,"all",3084
2021-01-20,"casual",365
2021-01-20,"member",2291
2021-01-20,"all",2656
2021-01-21,"casual",677
2021-01-21,"member",3459
2021-01-21,"all",4136
2021-01-22,"casual",479
2021-01-22,"member",2598
2021-01-22,"all",3077
2021-01-23,"casual",789
2021-01-23,"member",2713
2021-01-23,"all",3502
2021-01-24,"casual",700
2021-01-24,"member",2282
2021-01-24,"all",2982
2021-01-25,"casual",399
2021-01-25,"member",2605
2021-01-25,"all",3004
2021-01-26,"casual",145
2021-01-26,"member",1104
2021-01-26,"all",1249
2021-01-27,"casual",236
2021-01-27,"member",1982
2021-01-27,"all",2218
2021-01-28,"casual",336
2021-01-28,"member",2224
2021-01-28,"all",2560
2021-01-29,"casual",551
2021-01-29,"member",2667
2021-01-29,"all",3218
2021-01-30,"casual",385
2021-01-30,"member",1795
2021-01-30,"all",2180
2021-01-31,"casual",105
2021-01-31,"member",370
2021-01-31,"all",475
2021-02-01,"casual",252
2021-02-01,"member",1516
2021-02-01,"all",1768
2021-02-02,"casual",282
2021-02-02,"member",1981
2021-02-02,"all",2263
2021-02-03,"casual",356
2021-02-03,"member",2306
2021-02-03,"all",2662
2021-02-04,"casual",197
2021-02-04,"member",1504
2021-02-04,"all",1701
2021-02-05,"casual",137
2021-02-05,"member",1123
2021-02-05,"all",1260
2021-02-06,"casual",113
2021-02-06,"member",699
2021-02-06,"all",812
2021-02-07,"casual",77
2021-02-07,"member",475
2021-02-07,"all",552
2021-02-08,"casual",80
2021-02-08,"member",822
2021-02-08,"all",902
2021-02-09,"casual",138
2021-02-09,"member",1121
2021-02-09,"all",1259
2021-02-10,"casual",143
2021-02-10,"member",1075
2021-02-10,"all",1218
2021-02-11,"casual",176
2021-02-11,"member",1153
2021-02-11,"all",1329
2021-02-12,"casual",287
2021-02-12,"member",1496
2021-02-12,"all",1783
2021-02-13,"casual",135
2021-02-13,"member",565
2021-02-13,"all",700
2021-02-14,"casual",93
2021-02-14,"member",381
2021-02-14,"all",474
2021-02-15,"casual",33
2021-02-15,"member",302
2021-02-15,"all",335
2021-02-16,"casual",48
2021-02-16,"member",225
2021-02-16,"all",273
2021-02-17,"casual",80
2021-02-17,"member",526
2021-02-17,"all",606
2021-02-18,"casual",110
2021-02-18,"member",678
2021-02-18,"all",788
2021-02-19,"casual",145
2021-02-19,"member",801
2021-02-19,"all",946
2021-02-20,"casual",194
2021-02-20,"member",912
2021-02-20,"all",1106
2021-02-21,"casual",174
2021-02-21,"member",704
2021-02-21,"all",878
2021-02-22,"casual",202
2021-02-22,"member",1279
2021-02-22,"all",1481
2021-02-23,"casual",512
2021-02-23,"member",2273
2021-02-23,"all",2785
2021-02-24,"casual",519
2021-02-24,"member",2577
2021-02-24,"all",3096
2021-02-25,"casual",550
2021-02-25,"member",2588
2021-02-25,"all",3138
2021-02-26,"casual",878
2021-02-26,"member",2996
2021-02-26,"all",3874
2021-02-27,"casual",2975
2021-02-27,"member",4193
2021-02-27,"all",7168
2021-02-28,"casual",1018
2021-02-28,"member",2347
2021-02-28,"all",3365
2021-03-01,"casual",576
2021-03-01,"member",2835
2021-03-01,"all",3411
2021-03-02,"casual",792
2021-03-02,"member",3258
2021-03-02,"all",4050
2021-03-03,"casual",1457
2021-03-03,"member",4193
2021-03-03,"all",5650
2021-03-04,"casual",709
2021-03-04,"member",3238
2021-03-04,"all",3947
2021-03-05,"casual",1449
2021-03-05,"member",3903
2021-03-05,"all",5352
2021-03-06,"casual",2632
2021-03-06,"member",4133
2021-03-06,"all",6765
2021-03-07,"casual",2565
2021-03-07,"member",3841
2021-03-07,"all",6406
2021-03-08,"casual",3083
2021-03-08,"member",5743
2021-03-08,"all",8826
2021-03-09,"casual",3743
2021-03-09,"member",6493
2021-03-09,"all",10236
2021-03-10,"casual",2173
2021-03-10,"member",5125
2021-03-10,"all",7298
2021-03-11,"casual",2232
2021-03-11,"member",5284
2021-03-11,"all",7516
2021-03-12,"casual",2192
2021-03-12,"member",4945
2021-03-12,"all",7137
2021-03-13,"casual",6417
2021-03-13,"member",6084
2021-03-13,"all",12501
2021-03-14,"casual",2162
2021-03-14,"member",3122
2021-03-14,"all",5284
2021-03-15,"casual",357
2021-03-15,"member",1830
2021-03-15,"all",2187
2021-03-16,"casual",903
2021-03-16,"member",3310
2021-03-16,"all",4213
2021-03-17,"casual",797
2021-03-17,"member",2897
2021-03-17,"all",3694
2021-03-18,"casual",907
2021-03-18,"member",2771
2021-03-18,"all",3678
2021-03-19,"casual",2227
2021-03-19,"member",4405
2021-03-19,"all",6632
2021-03-20,"casual",6500
2021-03-20,"member",6135
2021-03-20,"all",12635
2021-03-21,"casual",9148
2021-03-21,"member",6916
2021-03-21,"all",16064
2021-03-22,"casual",4572
2021-03-22,"member",6405
2021-03-22,"all",10977
2021-03-23,"casual",1396
2021-03-23,"member",3889
2021-03-23,"all",5285
2021-03-24,"casual",2583
2021-03-24,"member",5578
2021-03-24,"all",8161
2021-03-25,"casual",1559
2021-03-25,"member",4483
2021-03-25,"all",6042
2021-03-26,"casual",1830
2021-03-26,"member",4399
2021-03-26,"all",6229
2021-03-27,"casual",6296
2021-03-27,"member",6401
2021-03-27,"all",12697
2021-03-28,"casual",3242
2021-03-28,"member",4116
2021-03-28,"all",7358
2021-03-29,"casual",3220
2021-03-29,"member",5665
2021-03-29,"all",8885
2021-03-30,"casual",3506
2021-03-30,"member",6261
2021-03-30,"all",9767
2021-03-31,"casual",1762
2021-03-31,"member",4686
2021-03-31,"all",6448
2021-04-01,"casual",1540
2021-04-01,"member",4041
2021-04-01,"all",5581
2021-04-02,"casual",3523
2021-04-02,"member",5654
2021-04-02,"all",9177
2021-04-03,"casual",10979
2021-04-03,"member",8412
2021-04-03,"all",19391
2021-04-04,"casual",9730
2021-04-04,"member",7172
2021-04-04,"all",16902
2021-04-05,"casual",4484
2021-04-05,"member",6777
2021-04-05,"all",11261
2021-04-06,"casual",7655
2021-04-06,"member",9402
2021-04-06,"all",17057
2021-04-07,"casual",6277
2021-04-07,"member",8996
2021-04-07,"all",15273
2021-04-08,"casual",1491
2021-04-08,"member",3809
2021-04-08,"all",5300
2021-04-09,"casual",5043
2021-04-09,"member",7230
2021-04-09,"all",12273
2021-04-10,"casual",2233
2021-04-10,"member",3205
2021-04-10,"all",5438
2021-04-11,"casual",5042
2021-04-11,"member",5767
2021-04-11,"all",10809
2021-04-12,"casual",3846
2021-04-12,"member",7136
2021-04-12,"all",10982
2021-04-13,"casual",3038
2021-04-13,"member",6980
2021-04-13,"all",10018
2021-04-14,"casual",2217
2021-04-14,"member",6010
2021-04-14,"all",8227
2021-04-15,"casual",2506
2021-04-15,"member",6088
2021-04-15,"all",8594
2021-04-16,"casual",4126
2021-04-16,"member",6905
2021-04-16,"all",11031
2021-04-17,"casual",6877
2021-04-17,"member",7016
2021-04-17,"all",13893
2021-04-18,"casual",6364
2021-04-18,"member",6765
2021-04-18,"all",13129
2021-04-19,"casual",1765
2021-04-19,"member",4880
2021-04-19,"all",6645
2021-04-20,"casual",1576
2021-04-20,"member",4818
2021-04-20,"all",6394
2021-04-21,"casual",1598
2021-04-21,"member",4911
2021-04-21,"all",6509
2021-04-22,"casual",3613
2021-04-22,"member",7075
2021-04-22,"all",10688
2021-04-23,"casual",5256
2021-04-23,"member",7986
2021-04-23,"all",13242
2021-04-24,"casual",7316
2021-04-24,"member",7565
2021-04-24,"all",14881
2021-04-25,"casual",3731
2021-04-25,"member",4997
2021-04-25,"all",8728
2021-04-26,"casual",5718
2021-04-26,"member",8470
2021-04-26,"all",14188
2021-04-27,"casual",7794
2021-04-27,"member",10163
2021-04-27,"all",17957
2021-04-28,"casual",1679
2021-04-28,"member",5029
2021-04-28,"all",6708
2021-04-29,"casual",3056
2021-04-29,"member",6677
2021-04-29,"all",9733
2021-04-30,"casual",4627
2021-04-30,"member",7500
2021-04-30,"all",12127
2021-05-01,"casual",14000
2021-05-01,"member",10014
2021-05-01,"all",24014
2021-05-02,"casual",14699
2021-05-02,"member",9651
2021-05-02,"all",24350
2021-05-03,"casual",3462
2021-05-03,"member",6196
2021-05-03,"all",9658
2021-05-04,"casual",2678
2021-05-04,"member",6522
2021-05-04,"all",9200
2021-05-05,"casual",4123
2021-05-05,"member",8306
2021-05-05,"all",12429
2021-05-06,"casual",3061
2021-05-06,"member",6355
2021-05-06,"all",9416
2021-05-07,"casual",5365
2021-05-07,"member",7929
2021-05-07,"all",13294
2021-05-08,"casual",7585
2021-05-08,"member",7400
2021-05-08,"all",14985
2021-05-09,"casual",3121
2021-05-09,"member",4094
2021-05-09,"all",7215
2021-05-10,"casual",2938
2021-05-10,"member",6295
2021-05-10,"all",9233
2021-05-11,"casual",3491
2021-05-11,"member",7449
2021-05-11,"all",10940
2021-05-12,"casual",4472
2021-05-12,"member",8785
2021-05-12,"all",13257
2021-05-13,"casual",6510
2021-05-13,"member",9816
2021-05-13,"all",16326
2021-05-14,"casual",9599
2021-05-14,"member",10561
2021-05-14,"all",20160
2021-05-15,"casual",8330
2021-05-15,"member",6931
2021-05-15,"all",15261
2021-05-16,"casual",13581
2021-05-16,"member",9578
2021-05-16,"all",23159
2021-05-17,"casual",5906
2021-05-17,"member",9069
2021-05-17,"all",14975
2021-05-18,"casual",4544
2021-05-18,"member",7949
2021-05-18,"all",12493
2021-05-19,"casual",5843
2021-05-19,"member",9968
2021-05-19,"all",15811
2021-05-20,"casual",8949
2021-05-20,"member",11260
2021-05-20,"all",20209
2021-05-21,"casual",12484
2021-05-21,"member",12003
2021-05-21,"all",24487
2021-05-22,"casual",21689
2021-05-22,"member",12644
2021-05-22,"all",34333
2021-05-23,"casual",12364
2021-05-23,"member",8834
2021-05-23,"all",21198
2021-05-24,"casual",8766
2021-05-24,"member",10833
2021-05-24,"all",19599
2021-05-25,"casual",7607
2021-05-25,"member",10990
2021-05-25,"all",18597
2021-05-26,"casual",8379
2021-05-26,"member",11752
2021-05-26,"all",20131
2021-05-27,"casual",3963
2021-05-27,"member",7682
2021-05-27,"all",11645
2021-05-28,"casual",2538
2021-05-28,"member",4654
2021-05-28,"all",7192
2021-05-29,"casual",12660
2021-05-29,"member",8762
2021-05-29,"all",21422
2021-05-30,"casual",17396
2021-05-30,"member",9088
2021-05-30,"all",26484
2021-05-31,"casual",12800
2021-05-31,"member",8445
2021-05-31,"all",21245
2021-06-01,"casual",8344
2021-06-01,"member",10827
2021-06-01,"all",19171
2021-06-02,"casual",8089
2021-06-02,"member",11854
2021-06-02,"all",19943
2021-06-03,"casual",10589
2021-06-03,"member",12590
2021-06-03,"all",23179
2021-06-04,"casual",12874
2021-06-04,"member",12537
2021-06-04,"all",25411
2021-06-05,"casual",22679
2021-06-05,"member",13303
2021-06-05,"all",35982
2021-06-06,"casual",17426
2021-06-06,"member",11103
2021-06-06,"all",28529
2021-06-07,"casual",7521
2021-06-07,"member",9883
2021-06-07,"all",17404
2021-06-08,"casual",9579
2021-06-08,"member",12709
2021-06-08,"all",22288
2021-06-09,"casual",10832
2021-06-09,"member",13618
2021-06-09,"all",24450
2021-06-10,"casual",11818
2021-06-10,"member",13382
2021-06-10,"all",25200
2021-06-11,"casual",15836
2021-06-11,"member",13512
2021-06-11,"all",29348
2021-06-12,"casual",21390
2021-06-12,"member",12538
2021-06-12,"all",33928
2021-06-13,"casual",21466
2021-06-13,"member",12683
2021-06-13,"all",34149
2021-06-14,"casual",10927
2021-06-14,"member",12048
2021-06-14,"all",22975
2021-06-15,"casual",10705
2021-06-15,"member",13084
2021-06-15,"all",23789
2021-06-16,"casual",11349
2021-06-16,"member",13850
2021-06-16,"all",25199
